type,msg,x,degree,numTerms,blMod,t0,buildTask,publishTaskIPFS,publishTaskETH,workerPullTask,workerProcessTask,workerSubmitResultIPFS,workerSubmitResultETH,userTriggerVerify,userVerify,oracleVerify,invokeVerification,gasUsed
MULTIVAR,test,2,64,19,1024,333460145633492,47496,0,0,0,1359372,11235,0,0,0,5217,106672937,93406
MULTIVAR,test,2,64,19,1024,333460258823321,125825,0,0,0,1054018,10928,0,0,0,9643,161019715,123019
MULTIVAR,test,2,64,19,1024,333460425669438,65151,0,0,0,922068,12180,0,0,0,4189,159516312,91766
MULTIVAR,test,2,64,19,1024,333460590834896,66962,0,0,0,1289127,13534,0,0,0,6498,146791953,84543
MULTIVAR,test,2,64,19,1024,333460743937278,63720,0,0,0,925044,8982,0,0,0,9207,154922088,123081
MULTIVAR,test,2,64,19,1024,333460905282607,62781,0,0,0,1796353,10054,0,0,0,9430,377744307,179567
MULTIVAR,test,2,64,19,1024,333461289972873,79652,0,0,0,1168805,16750,0,0,0,6245,91045114,87535
MULTIVAR,test,2,64,19,1024,333461386980551,87026,0,0,0,1050027,10881,0,0,0,7614,177340594,141900
MULTIVAR,test,2,64,19,1024,333461570614278,66131,0,0,0,1364687,10080,0,0,0,6119,127775545,83634
MULTIVAR,test,2,64,19,1024,333461704975770,51589,0,0,0,1266681,10777,0,0,0,10507,273854091,126825
MULTIVAR,test,2,64,19,1024,333461985993879,57863,0,0,0,1342383,9248,0,0,0,6576,99342410,84504
MULTIVAR,test,2,64,19,1024,333462091789202,54940,0,0,0,1352844,13047,0,0,0,6804,98408308,84723
MULTIVAR,test,2,64,19,1024,333462196332070,47230,0,0,0,1311858,10631,0,0,0,5164,94295677,84809
MULTIVAR,test,2,64,19,1024,333462297106528,49522,0,0,0,958907,7918,0,0,0,8820,218004620,140670
MULTIVAR,test,2,64,19,1024,333462523855500,67471,0,0,0,1370534,27060,0,0,0,6164,168695126,83204
MULTIVAR,test,2,64,19,1024,333462699201444,94011,0,0,0,1487256,19150,0,0,0,7746,132303579,87511
MULTIVAR,test,2,64,19,1024,333462838109178,42852,0,0,0,834161,12042,0,0,0,9725,149805929,115005
MULTIVAR,test,2,64,19,1024,333462994108348,39648,0,0,0,845634,14306,0,0,0,14375,117036829,99216
MULTIVAR,test,2,64,19,1024,333463117065813,39873,0,0,0,961631,13567,0,0,0,10992,225073505,127189
MULTIVAR,test,2,64,19,1024,333463347860262,40134,0,0,0,1057731,9090,0,0,0,6960,127012160,84221
